,edge,delta,c_s,c_sTwoSequence,p_value,result_test,result_test_tip2tip,category_rate,branch_length
84,"(t101111, Node61*)",2.9891481090744745,0.16495329507904075,0.16531400956524986,1.6000381818964298e-195,Informative,InfoT2T,p2,0.00678451842324
85,"(Node24*, Node23*)",2.9872225957090164,0.16493712398297186,0.16531400956524986,2.6004740274538065e-195,Informative,InfoT2T,p2,0.00672702785838
86,"(Node25*, Node23*)",2.959504827859165,0.16531066689110296,0.16531400956524986,6.817015236390906e-191,Informative,InfoT2T,p2,0.005635582479
87,"(Node27*, Node26*)",2.9999541175035076,0.1653119954755609,0.16531400956524986,4.451419733366947e-196,Informative,InfoT2T,p2,0.00463885433028
88,"(Node28*, Node26*)",2.9999339958924622,0.1653115590368072,0.16531400956524986,4.467598486360458e-196,Informative,InfoT2T,p2,0.00381003547581
89,"(t011100, Node30*)",2.982087143232092,0.1646507850122663,0.16531400956524986,2.56163003030258e-195,Informative,InfoT2T,p2,0.006438447881820001
90,"(t011101, Node30*)",2.9751538207068937,0.164568201115572,0.16531400956524986,1.293689199854565e-194,Informative,InfoT2T,p2,0.00375644804175
91,"(t011110, Node31*)",2.9864408568060274,0.16530898570241295,0.16531400956524986,2.4130660655456827e-194,Informative,InfoT2T,p2,0.0045153943786799995
92,"(t011111, Node31*)",2.994024879294342,0.16512669963107968,0.16531400956524986,9.55346060165292e-196,Informative,InfoT2T,p2,0.00555777886347
93,"(t110100, Node39*)",2.9904377689929786,0.1651561680239558,0.16531400956524986,3.2512157571210903e-195,Informative,InfoT2T,p2,0.00298785542346
94,"(t110101, Node39*)",2.9864876449037014,0.1653115582446933,0.16531400956524986,2.412842480866326e-194,Informative,InfoT2T,p2,0.00352745837523
95,"(t110110, Node40*)",2.978378407916619,0.1649960380829341,0.16531400956524986,4.928278247959014e-194,Informative,InfoT2T,p2,0.0053210322802800004
96,"(t110111, Node40*)",2.967598585581419,0.1651314190628619,0.16531400956524986,2.4510631245129013e-192,Informative,InfoT2T,p2,0.00836152323012
