,edge,delta,c_s,c_sTwoSequence,p_value,result_test,result_test_tip2tip,category_rate,branch_length
73,"(Node14*, Node13*)",2.9816998093215425,0.17070561977620607,0.170869868890202,7.934654317098349e-182,Informative,InfoT2T,p2,0.0033589953689199996
74,"(Node15*, Node13*)",2.97927834290925,0.17066570024139058,0.170869868890202,1.2795712556209413e-181,Informative,InfoT2T,p2,0.00725920825203
75,"(Node17*, Node16*)",2.9855392538385552,0.17086738399385346,0.170869868890202,5.992018895219311e-182,Informative,InfoT2T,p2,0.006074174609949999
76,"(Node20*, Node16*)",2.9918668655738156,0.17066213353250934,0.170869868890202,3.8151258232969854e-183,Informative,InfoT2T,p2,0.0033447061690899996
77,"(Node29*, Node28*)",2.9798582967935117,0.17066942914374916,0.170869868890202,1.1094462157777288e-181,Informative,InfoT2T,p2,0.008939299293229999
78,"(Node30*, Node28*)",2.9712365482760634,0.1706933317114486,0.170869868890202,1.3525916208812385e-180,Informative,InfoT2T,p2,0.00599171012487
79,"(Node32*, Node31*)",2.982937736375281,0.17068017881910688,0.170869868890202,4.9766360813342346e-182,Informative,InfoT2T,p2,0.004441746152139999
80,"(Node33*, Node31*)",2.9810398351082728,0.17086519313624773,0.170869868890202,2.0599526877190427e-181,Informative,InfoT2T,p2,0.0038651544421599996
81,"(t101100, Node35*)",2.9932101851822597,0.1706627529692396,0.170869868890202,2.6330127339682385e-183,Informative,InfoT2T,p2,0.005717217227579999
82,"(t101101, Node35*)",2.985573025758812,0.17086766635754524,0.170869868890202,5.944343672845914e-182,Informative,InfoT2T,p2,0.00573422932791
83,"(t101110, Node36*)",2.98559368818242,0.17086884889121054,0.170869868890202,5.944343677760808e-182,Informative,InfoT2T,p2,0.005845638591729999
84,"(t101111, Node36*)",2.9950023746654506,0.1706826585921739,0.170869868890202,1.7618430480355695e-183,Informative,InfoT2T,p2,0.004343873884
85,"(Node44*, Node43*)",2.9935535756021703,0.1706600423810271,0.170869868890202,2.3614916720636098e-183,Informative,InfoT2T,p2,0.00388556640363
86,"(Node45*, Node43*)",2.994819031501306,0.1706768457650324,0.170869868890202,1.8022098613530361e-183,Informative,InfoT2T,p2,0.00550912753619
87,"(Node47*, Node46*)",2.9626051139819727,0.1702553778504682,0.170869868890202,1.7880924155294507e-180,Informative,InfoT2T,p2,0.0047981269447399996
88,"(Node48*, Node46*)",2.9422716013685064,0.17046846928546763,0.170869868890202,1.3421237398713838e-177,Informative,InfoT2T,p2,0.005283196680159999
89,"(t111000, Node50*)",2.9791682995988436,0.17066201256119531,0.170869868890202,1.295865460404646e-181,Informative,InfoT2T,p2,0.0036668009561099998
90,"(t111001, Node50*)",2.978174889226255,0.1706605860504838,0.170869868890202,1.6946720515609657e-181,Informative,InfoT2T,p2,0.0048704038558
91,"(t111010, Node51*)",2.9999670784528862,0.17086799484619453,0.170869868890202,1.093984435842994e-183,Informative,InfoT2T,p2,0.004170971457469999
92,"(t111011, Node51*)",2.9999305001011547,0.17086591511156726,0.170869868890202,1.0940039215147742e-183,Informative,InfoT2T,p2,0.0019759387302399995
93,"(t010000, Node14*)",2.992855250662423,0.170663266945414,0.170869868890202,2.913740271981166e-183,Informative,InfoT2T,p2,0.00768530444305
94,"(t010001, Node14*)",2.989934224297663,0.17069284276599594,0.170869868890202,7.584722363350765e-183,Informative,InfoT2T,p2,0.00329313443362
95,"(t010010, Node15*)",2.9932415656279496,0.17066030400892324,0.170869868890202,2.579087753440469e-183,Informative,InfoT2T,p2,0.0032625256601299998
96,"(t010011, Node15*)",2.995485180564262,0.17069137923618177,0.170869868890202,1.6072463959103852e-183,Informative,InfoT2T,p2,0.00625531285205
97,"(Node18*, Node17*)",2.993593099465287,0.17066485730367753,0.170869868890202,2.3912200816389305e-183,Informative,InfoT2T,p2,0.00451653399779
98,"(Node19*, Node17*)",2.993778888601578,0.17066650923056068,0.170869868890202,2.2890691466605223e-183,Informative,InfoT2T,p2,0.00477379368322
99,"(Node21*, Node20*)",2.9999033767952508,0.17086816276841232,0.170869868890202,1.1144681480840748e-183,Informative,InfoT2T,p2,0.00478651228448
100,"(Node22*, Node20*)",2.999913185785211,0.17086698124827326,0.170869868890202,1.1050310942200666e-183,Informative,InfoT2T,p2,0.00282802445957
101,"(t100000, Node29*)",2.9967075320218797,0.17072392497238076,0.170869868890202,1.3406847114549798e-183,Informative,InfoT2T,p2,0.0031252013120499997
102,"(t100001, Node29*)",2.996216928157777,0.17070924529236328,0.170869868890202,1.4305454529739352e-183,Informative,InfoT2T,p2,0.0026038563525100002
103,"(t100010, Node30*)",2.985571708038198,0.1705361467893364,0.170869868890202,1.1895084088790076e-182,Informative,InfoT2T,p2,0.00522968062283
104,"(t100011, Node30*)",2.9788466958854825,0.1706620622283873,0.170869868890202,1.416973503081193e-181,Informative,InfoT2T,p2,0.00234590275471
105,"(t100100, Node32*)",2.9925853388818835,0.17066071493870705,0.170869868890202,3.1021871873292115e-183,Informative,InfoT2T,p2,0.00474901533486
106,"(t100101, Node32*)",2.985540506117171,0.17086582418995935,0.170869868890202,5.944889427423947e-182,Informative,InfoT2T,p2,0.00427404601293
107,"(t100110, Node33*)",2.985563180775015,0.17046592832328689,0.170869868890202,8.46922362020598e-183,Informative,InfoT2T,p2,0.00235320276088
108,"(t100111, Node33*)",2.9801568033581427,0.17067602939871246,0.170869868890202,1.0545085848391332e-181,Informative,InfoT2T,p2,0.00522890740223
109,"(t110000, Node44*)",2.9999425207047743,0.17086659728566855,0.170869868890202,1.0939906688168953e-183,Informative,InfoT2T,p2,0.00572925531157
110,"(t110001, Node44*)",2.9999487326264918,0.17086695064179558,0.170869868890202,1.0939882418793999e-183,Informative,InfoT2T,p2,0.006422458110789999
111,"(t110010, Node45*)",2.999971704681087,0.1708682574992003,0.170869868890202,1.0939799380329242e-183,Informative,InfoT2T,p2,0.00297930955039
